sensor.name,voc,pm2.5_atm,pm10.0_atm
#16 - Richardson County Courthouse,86.7586503884974,700.127341505544,701.6324458589875
#17 - Otoe County,251.42729644013286,9.755344705221853,11.671140606427151
#18 - Southeast District Health Department- Tecumseh,196.15077093174864,613.1753516686339,614.2272482287595
Ainsworth Public School #9,219.20027430769022,10.697057685589675,12.390707560035327
Broken Bow,158.2858068082473,928.7105926297473,929.6785116438858
Buffalo County TRPHD #26,328.83539143688023,8.479441947562673,9.59603815291365
ELVPHD Norfolk HD 4,360.83374405056605,13.369492426146198,15.969341273444446
ELVPHD Tekamah HD 3,221.09159482009903,9.482821791925742,10.683828034336633
ELVPHD Wisner HD 5,102.29112631462941,11.154419784565826,14.462116237991598
FCHD-YPS,372.46271961989044,9.167841913249315,11.13824052449589
Laurel High School,130.63140799401162,8.635639488819768,10.254001068383722
Loup Basin Public Health Department,352.833901775964,8.561094633619538,10.454419826357327
Lower Niobrara NRD Butte 10,227.43937875226416,8.041273576436657,9.365580585175202
NCDHD O'Neill #11,283.6330002567699,164.49507802483186,166.13257823049557
PHS Fairbury JCHL 13,275.8796570492705,9.405360014545977,11.132398055192528
SWNPHD-Imerial,285.45635456246475,6.329090778496479,7.281414362246479
South Heartland District Health Dept. Hastings office,305.38531413188326,8.915232522206896,9.852555104732096
South Heartland District Health Dept. Superior City Building,178.74507374063828,8.851045299828671,9.851113020493006
Swnphd-Benklemen,336.4009692716237,7.501374136420103,9.041440386286084
Swnphd-mccook,353.94158068612825,123.01162229927948,124.22733615502564
Swnphd-ogallala,399.43423954319144,10.396578644670212,11.347888709446808
TRPHD Dawson Co. Courthouse 25,311.91284051041345,18.080628620873384,19.548147669813954
TRPHD Harlan Co. Courthouse 24,209.87660755542234,7.9275103406403264,8.944145179866485
Three Rivers Public Health Department,370.2162083170557,9.601759570997347,11.226491590002652
WCDHD Arthur High School 28,258.69117509593747,6.65847406409375,7.712941324709375
WCDHD City Building,168.48005609533982,3.9715123284563107,4.8175973087766994
WCDHD Thedford Library 29,260.5361336297279,6.219710308761905,7.509269324857143
